model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
qwen37_plus_direct,season,spring,terminal_alignment_kwh,18,-338.1459203837713,1701.957606947794,-4.8072862499998905,-4003.3734562500003,-3322.7685236842062,-214.13545888157864,151.59239720394746,893.0304687500015,2436.826480263158,2467.541118421053,9,0,9,-284.42463931743345,-38.54274688596451,-503.18633443111383,-122.5443006269343,-686.5983709580585,89.26876364309271,-889.4783988714566,-17.59895385627494
qwen37_plus_direct,season,spring,alignment_total_violation_energy,18,-12334.82765857821,72235.3867576674,0.39030750000793546,-168105.0,-139101.37946148022,-3191.3733256579017,3609.2381250000008,39415.964823684306,103857.06957236843,110332.03125,9,2,7,-10265.87056902549,306.3083385306986,-19550.525241435756,-3171.8763443769312,-27192.084898795227,5840.990366829777,-35424.65827422571,1227.9808884008094
qwen37_plus_direct,season,summer,ED_kwh,12,462.37014166666677,730.3974692511175,70.38000000000001,-64.39999999999952,-4.479989999999951,-1.0724999999999483,583.4000000000001,1341.79802,1766.5487899999994,2250.0,7,2,3,336.2841700000001,249.54312500000006,299.85833636363645,299.85833636363645,192.74439000000012,192.74439000000012,9.652700000000104,9.652700000000106
qwen37_plus_direct,season,summer,ED_avg_kw,12,20.936491666666672,32.63927043211648,3.0600000000000005,-2.7999999999999794,-0.19562999999999783,-0.04874999999999765,28.300000000000004,58.84774,77.78472999999997,100.0,7,2,3,15.403790000000004,11.828125000000004,13.748900000000004,13.748900000000004,9.162930000000005,9.162930000000006,0.4184714285714332,0.41847142857143316
qwen37_plus_direct,season,summer,ED_per_soc_gap,12,6.968321944444447,12.928890847856232,1.3478000000000003,-1.2879999999999905,-0.05973319999999935,-0.01429999999999931,8.137625000000003,13.4179802,27.790487899999977,45.0,7,2,3,3.9907863333333338,3.2822375000000017,3.5108966666666688,3.5108966666666688,2.4909885333333355,2.4909885333333355,0.18434076190476384,0.1843407619047638
qwen37_plus_direct,season,summer,soc_direction_net_energy_kwh,12,169.87562708333323,1090.0048540375985,188.19,-2853.228750000001,-58.346055000000014,-2.690137499999971,754.0460499999999,1201.6187500000005,1351.3747499999997,1501.5549999999994,7,1,4,339.01812750000005,278.260159375,48.81386590909084,444.7032977272727,-69.15474750000013,339.01812750000005,-363.91561428571447,73.78498214285715
qwen37_plus_direct,season,summer,terminal_alignment_kwh,12,-355.94375947916666,835.2654537631771,-22.62925657894786,-2710.5673124999994,-1223.397640375001,-107.90691837170898,2.5556306250004326,55.428752249997984,69.3820823815785,79.40684973684398,4,1,7,-164.01646509868442,-45.53148762335511,-395.52108758971303,-141.88707284090913,-441.1911963486841,-22.366505124999925,-631.1092122838346,-3.6811772368424727
qwen37_plus_direct,season,summer,alignment_total_violation_energy,12,-12671.9075358114,35704.82144142857,9.469062500001343,-113182.08125,-49708.27218750001,-301.0549921874931,1624.787349523015,5692.240729282865,5757.075361842112,5768.331907894796,6,1,5,-4464.914108763161,599.419103355265,-14348.292939784693,-3534.6190163397114,-16357.908779815789,1631.1550195263194,-24177.56470089286,-56.60933160714398
qwen37_plus_direct,season,winter,ED_kwh,12,1384.9650916666667,2818.2666232021556,361.56000000000006,-9.554999999999886,-0.08900999999991085,0.0,1300.9587500000002,2181.8615000000004,5756.8749999999945,10012.5,6,4,2,661.66361,542.7168750000001,600.6437363636363,600.6437363636364,433.20811000000003,433.20811000000015,101.92372857142861,101.92372857142861
qwen37_plus_direct,season,winter,ED_avg_kw,12,61.672975,126.64199026255883,15.720000000000004,-0.419999999999995,-0.003869999999996124,0.0,57.18500000000001,95.90600000000002,257.4999999999998,450.0,6,4,2,29.04957,23.8125,26.37051818181818,26.370518181818184,19.00757,19.00757,4.4308142857142885,4.4308142857142885
qwen37_plus_direct,season,winter,ED_per_soc_gap,12,14.322352611111112,28.112962982286252,4.820800000000002,-0.1273999999999985,-0.0011867999999988113,0.0,13.2416375,21.818615000000005,57.568749999999945,100.125,6,4,2,7.187063133333334,6.14024375,6.52211193939394,6.52211193939394,4.899323133333334,4.899323133333334,1.3589830476190488,1.3589830476190488
qwen37_plus_direct,season,winter,soc_direction_net_energy_kwh,12,670.353996875,1439.0373580405962,206.17500000000004,-494.13,-187.98875375000003,70.75186562500004,733.46,1121.2292000000002,2883.5926499999973,5006.25,10,0,2,353.21279625,325.0303078125,276.1816329545454,276.1816329545455,189.11249624999996,189.11249625,-6.0007196428571365,116.24070892857146
qwen37_plus_direct,season,winter,terminal_alignment_kwh,12,-458.0432152330045,1369.5764304181573,-60.91899999999966,-4755.9375,-524.5446644736846,-170.79586513157923,4.372074013158027,123.01029999999984,210.80126874999962,311.20149999999967,3,0,9,-105.17825827960533,-78.07750952713818,-527.9745529814594,-67.32555298145944,-593.6375707796053,-18.476295121710592,-848.2985845864663,-15.168712955827091
qwen37_plus_direct,season,winter,alignment_total_violation_energy,12,-17773.00037280702,59001.54609192332,-226.45156250000338,-204735.625,-9659.384046052639,-3073.0283717105212,289.1164062500005,3726.615312500001,4248.521342105263,4537.373815789475,3,2,7,-1307.7753289473683,-841.7524671052612,-19801.21620813397,-776.3981339712914,-22182.55657894737,181.55415789473855,-31854.575916353384,-477.6383928571435
qwen37_plus_direct,location_id,fresno,ED_kwh,18,1699.449011111111,2454.372501420939,1117.4700000000003,-4.501099999999969,-6.821210263296958e-14,201.15000000000006,1549.87445,3753.9940000000042,7469.733974999999,8970.0065,15,2,1,1351.5360500000002,1012.0497333333334,1271.7691588235296,1271.7691588235296,900.9434812500001,900.9434812500001,636.9689,636.9689
qwen37_plus_direct,location_id,fresno,ED_avg_kw,18,74.85971666666666,107.38283973626245,49.42400000000001,-0.19569999999999865,-2.9657435927378077e-15,9.300000000000002,70.40215,163.97800000000018,325.41389999999996,394.286,15,2,1,59.586537500000006,45.010383333333344,56.069935294117656,56.069935294117656,39.99555625,39.99555625,28.148376923076928,28.148376923076928
qwen37_plus_direct,location_id,fresno,ED_per_soc_gap,18,18.709612870370375,25.196176671380304,12.667100000000005,-0.06001466666666625,-1.3642420526593916e-15,3.326000000000001,15.498744499999999,53.114940000000026,74.69733975,89.700065,15,2,1,15.445811333333333,10.84026511111111,14.53370392156863,14.53370392156863,10.938947916666667,10.938947916666667,7.013705128205131,7.013705128205131
qwen37_plus_direct,location_id,fresno,soc_direction_net_energy_kwh,18,1045.5446083333334,1412.5436255708748,683.31695,-494.13,-22.022385000000018,130.89760625,1208.0932500000004,3504.9405,3878.839993749999,4517.501624999998,14,0,4,924.7769578125,642.1297395833334,841.3118426470589,841.3118426470588,658.5103953125,658.5103953125001,353.115101923077,353.1151019230771
qwen37_plus_direct,location_id,fresno,terminal_alignment_kwh,18,-306.48170144736855,1399.9227171489315,-9.555256578948729,-4003.3734562500003,-1442.5386907894726,-155.77103289473752,74.8501373026324,218.3228750000003,634.6524427631546,2467.541118421053,8,0,10,-248.80239301398035,-33.59883980811438,-469.6595143808051,-89.0174805766255,-518.4633277796054,124.89100994654576,-666.4234323481785,-17.28217905364401
qwen37_plus_direct,location_id,fresno,alignment_total_violation_energy,18,-10412.264055222959,58931.607495772376,224.6359799999889,-168105.0,-51462.46785394737,-2146.0978207236926,5028.057065016464,10319.303209210517,25852.008155263058,102714.42927631582,11,0,7,-7626.8863918955685,1161.65642264802,-17066.775427666416,-1136.2207643537213,-18901.452109823204,8003.874420604437,-24833.713177935228,1801.1870014726642
qwen37_plus_direct,location_id,los_angeles,ED_kwh,18,1190.6757222222222,2754.8161473059117,3.552713678800501e-14,-178.0,-22.322999999999702,0.0,854.25,3603.8030000000026,7299.733499999994,10012.5,8,7,3,724.8539374999999,218.36191666666664,671.7448823529411,671.7448823529412,287.4158125000001,287.4158125,3.435153846153906,3.435153846153907
