scenario_id,event_family,difficulty,model_condition,block_id,branch,objective_order,status,physical_cost_usd,distance_kwh,throughput_kwh,curtailment_kwh,retained_fraction,runtime_seconds,cost_optimum_usd,stage1_seconds,stage2_seconds
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen37_plus_direct,qwen37f1_69544ce973d15392cd7a,C1,cost_then_distance,optimal,276.1876028921237,1014.3994931405352,524.4078947368421,0.0,0.011111111111111112,0.02950233398587443,-10.036109753289473,0.014223207981558517,0.013182416005292907
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen_flash,e2bv2_ccd2f73e977e0f60938a,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,285.2203958101474,5601.250005124835,23.7501,0.0,0.0,0.021947708999505267,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen_flash,e2bv2_ccd2f73e977e0f60938a,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,285.2203958101474,5601.250005124835,23.7501,0.0,0.0,0.021820415975525975,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen_flash,e2bv2_ccd2f73e977e0f60938a,C1,direct_cost_optimal,optimal,276.1876018921238,5626.907894736842,524.4078947368421,0.0,0.044444444444444446,0.014283458003774285,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen_flash,e2bv2_ccd2f73e977e0f60938a,C1,cost_then_distance,optimal,276.18760289212383,5626.907890512124,524.4078123006724,0.0,0.044444444444444446,0.025884374976158142,-10.036109753289473,0.014117042010184377,0.009828374983044341
v2e2_394e89f7d166924e9409,export_limit_update,easy,deepseek_formal,e2bv2_6de44f7f22478000b190,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,681.4630366131712,157.89483684210526,157.89483684210526,0.0,0.9560439560439561,0.018550000007962808,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,deepseek_formal,e2bv2_6de44f7f22478000b190,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,681.4630366131712,157.89483684210526,157.89483684210526,0.0,0.9560439560439561,0.01958179200300947,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,deepseek_formal,e2bv2_6de44f7f22478000b190,C1,direct_cost_optimal,optimal,677.9822207198366,358.1578947368421,358.1578947368421,0.0,0.9230769230769231,0.01372849999461323,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,deepseek_formal,e2bv2_6de44f7f22478000b190,C1,cost_then_distance,optimal,677.9822217198366,358.1578365581665,358.1578365581665,0.0,0.9230769230769231,0.035534708003979176,6.16588605,0.013709708000533283,0.019871917000273243
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen37_plus_direct,qwen37f1_a308bdf50eab9a3e3f68,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,683.3644102087163,83.2748368421056,157.8947368421056,0.0,0.967032967032967,0.018280667020007968,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen37_plus_direct,qwen37f1_a308bdf50eab9a3e3f68,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,683.3644102087163,83.2748368421056,157.8947368421056,0.0,0.967032967032967,0.018030499981250614,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen37_plus_direct,qwen37f1_a308bdf50eab9a3e3f68,C1,direct_cost_optimal,optimal,677.9822207198366,424.57789473684204,358.1578947368421,0.0,0.0,0.01372849999461323,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen37_plus_direct,qwen37f1_a308bdf50eab9a3e3f68,C1,cost_then_distance,optimal,677.9822217198366,419.64924309511474,358.1578947368421,0.0,0.03296703296703297,0.04380354200839065,6.16588605,0.014310750004369766,0.027619166008662432
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen_flash,e2bv2_857ed212cb3ade75decf,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,681.4630366131712,5845.394741966941,157.89483684210526,0.0,0.0,0.022526916000060737,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen_flash,e2bv2_857ed212cb3ade75decf,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,681.4630366131712,5845.394741966941,157.89483684210526,0.0,0.0,0.021851625002454966,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen_flash,e2bv2_857ed212cb3ade75decf,C1,direct_cost_optimal,optimal,677.9822207198366,5855.657894736842,358.1578947368421,0.0,0.01098901098901099,0.01372849999461323,,,
v2e2_394e89f7d166924e9409,export_limit_update,easy,qwen_flash,e2bv2_857ed212cb3ade75decf,C1,cost_then_distance,optimal,677.9822217198366,5855.657891755281,358.1578365581665,0.0,0.01098901098901099,0.02301866697962396,6.16588605,0.013804624992189929,0.007288958004210144
v2e2_b7e962716394d888d563,forecast_revision,easy,deepseek_formal,e2bv2_d59d4b99214e88058150,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,505.9621301297628,184.21062631578948,184.21062631578948,0.0,0.9560439560439561,0.01917949999915436,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,deepseek_formal,e2bv2_d59d4b99214e88058150,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,505.9621301297628,184.21062631578948,184.21062631578948,0.0,0.9560439560439561,0.019325750006828457,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,deepseek_formal,e2bv2_d59d4b99214e88058150,C1,direct_cost_optimal,optimal,501.8946047446617,334.4078947368421,334.4078947368421,0.0,0.9230769230769231,0.015152000007219613,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,deepseek_formal,e2bv2_d59d4b99214e88058150,C1,cost_then_distance,optimal,501.8946047446617,334.4078947368421,334.4078947368421,0.0,0.9230769230769231,0.041046124999411404,5.6738671684210535,0.015075833012815565,0.024113457999192178
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen37_plus_direct,qwen37f1_3c5aa7c5edca9c9b3591,C1,distance_throughput_cost_saved,feasible_mode_library_upper_bound,501.92996782084447,5490.78135,428.2792987179448,0.0,0.04395604395604396,0.01434424999752082,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen37_plus_direct,qwen37f1_3c5aa7c5edca9c9b3591,C1,minimum_intervention_distance_only,feasible_mode_library_upper_bound_distance_focus,501.92996782084447,5490.78135,428.2792987179448,0.0,0.04395604395604396,0.014077500003622845,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen37_plus_direct,qwen37f1_3c5aa7c5edca9c9b3591,C1,direct_cost_optimal,optimal,501.8946047446617,5495.592105263158,334.4078947368421,0.0,0.04395604395604396,0.015152000007219613,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen37_plus_direct,qwen37f1_3c5aa7c5edca9c9b3591,C1,cost_then_distance,optimal,501.89460574466165,5495.591969224221,334.4105492401921,0.0,0.04395604395604396,0.028583915991475806,5.6738671684210535,0.01568029201007448,0.010772457986604422
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen_flash,e2bv2_ba453444ee63f6532431,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,505.9621301297628,5871.710531440625,184.21062631578948,0.0,0.0,0.02275062500848435,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen_flash,e2bv2_ba453444ee63f6532431,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,505.9621301297628,5871.710531440625,184.21062631578948,0.0,0.0,0.023082791012711823,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen_flash,e2bv2_ba453444ee63f6532431,C1,direct_cost_optimal,optimal,501.8946047446617,5879.407894736842,334.4078947368421,0.0,0.01098901098901099,0.015152000007219613,,,
v2e2_b7e962716394d888d563,forecast_revision,easy,qwen_flash,e2bv2_ba453444ee63f6532431,C1,cost_then_distance,optimal,501.8946057446617,5879.407892839145,334.4078577074024,0.0,0.01098901098901099,0.02928858299856074,5.6738671684210535,0.015362416976131499,0.012039374996675178
v2e2_eeaa2f40bad66efc8c57,power_limit_derating,easy,deepseek_formal,e2bv2_b9a034cfca44742fe81f,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,316.78808647676533,184.21052631578948,184.21052631578948,0.0,0.9560439560439561,0.017840333021013066,,,
v2e2_eeaa2f40bad66efc8c57,power_limit_derating,easy,deepseek_formal,e2bv2_b9a034cfca44742fe81f,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,316.78808647676533,184.21052631578948,184.21052631578948,0.0,0.9560439560439561,0.018804167018970475,,,
v2e2_eeaa2f40bad66efc8c57,power_limit_derating,easy,deepseek_formal,e2bv2_b9a034cfca44742fe81f,C1,direct_cost_optimal,optimal,316.78808647676533,184.21052631578948,184.21052631578948,0.0,0.9560439560439561,0.011618999997153878,,,
