scenario_id,event_family,difficulty,degradation_cost_per_kwh,terminal_tolerance_kwh,status,physical_cost_usd,throughput_kwh,runtime_seconds
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.008,0.0,optimal,210.36354325902462,640.5289473684211,0.011168124998221174
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.008,1.0,optimal,210.3328866830246,641.4789473684211,0.014031083992449567
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.02,0.0,optimal,213.95249525376144,290.06842105263155,0.014103374996921048
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.02,1.0,optimal,213.9105367590246,289.0157894736842,0.013982375006889924
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.0,0.0,optimal,144.05512819650187,1678.4868421052631,0.015037790988571942
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.0,1.0,optimal,144.04523869650188,1679.436842105263,0.015309249982237816
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.008,0.0,optimal,154.62216967868133,553.3240997229916,0.015262542001437396
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.008,1.0,optimal,154.60499333131293,552.2714681440443,0.01115966698853299
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.02,0.0,optimal,160.37529305655534,476.9078947368421,0.015296458004740998
v2e2_a26fd019af93d45104b8,export_limit_update,medium,0.02,1.0,optimal,160.34548513023955,475.85526315789474,0.011205874994629994
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.0,0.0,optimal,257.8762623807403,1507.2618421052632,0.01598558298428543
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.0,1.0,optimal,257.77070788074025,1508.2118421052633,0.015179040987277403
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.008,0.0,optimal,266.44493508882545,1030.9517313019392,0.017119124997407198
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.008,1.0,optimal,266.34698058882543,1031.901731301939,0.01466554097714834
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.02,0.0,optimal,271.2890066968718,376.7763157894737,0.012107957998523489
v2e2_a49aba98f0f44c8c6622,reserve_commitment_update,hard,0.02,1.0,optimal,271.20245219687183,377.7263157894737,0.008852250000927597
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.0,0.0,optimal,318.3768697423197,2017.9328947368422,0.01542874998995103
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.0,1.0,optimal,318.2713152423197,2018.8828947368422,0.01724374998593703
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.008,0.0,optimal,330.91011057704964,1286.2872576177285,0.015487208002014086
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.008,1.0,optimal,330.8121560770496,1287.2372576177286,0.01279854099266231
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.02,0.0,optimal,340.1310288692934,759.2789473684211,0.014613165985792875
v2e2_a614c009acc530c12890,reserve_commitment_update,easy,0.02,1.0,optimal,340.0444743692934,760.2289473684211,0.01408774999435991
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.0,0.0,optimal,181.06802359131788,1983.9944802638506,0.01422420801827684
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.0,1.0,optimal,181.05966446500207,1982.941848684903,0.013372374989558011
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.008,0.0,optimal,185.70559068724387,354.1842105263158,0.014072291989577934
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.008,1.0,optimal,185.6888105082965,353.13157894736844,0.010087000002386048
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.02,0.0,optimal,189.3511247409281,23.75,0.009465333016123623
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,0.02,1.0,optimal,189.3253776889281,24.700000000000003,0.008758333016885445
