tier,scenario_id,block_id,model_condition,branch,gate_type,gate_status,battery_correction_l1_kwh,curtailment_introduced_kwh,sign_change_intervals,zero_to_active_intervals,post_gate_feasible,post_gate_cost_usd,runtime_seconds,rescue_mechanism,expanded_distance_reduction_kwh
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018554207985289395,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018653125007404014,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018554207985289395,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018653125007404014,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018554207985289395,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018653125007404014,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018554207985289395,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.019195541011868045,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.01881491599488072,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.019195541011868045,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.01881491599488072,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.019195541011868045,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.01881491599488072,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.019195541011868045,battery_action_and_mode_correction,0.0
F1,v2e2_28d9724eea09520d5cd7,e2bv2_65a2adb54b7fa70641c7,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,259.9080659282582,0.01881491599488072,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.019986458006314933,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.01890562500921078,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.019986458006314933,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.01890562500921078,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.019986458006314933,battery_action_and_mode_correction,0.0
F1,v2e2_31906e8fff0262a0bd53,e2bv2_063e4dae2070d79d92fc,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,5,True,363.3996630452206,0.01890562500921078,battery_action_and_mode_correction,0.0
